X,Y,Tm,P,tree_genus,BURNCLAS
-117.33858445407,59.3476722378955,18.9,32.1,Pice,4.0
-117.621649454291,59.3209847652911,16.1,15.3,Pice,4.0
-112.51492078519,59.97994037171,19.9,71.4,Pice,4.0
-108.99934947575,60.3274200461035,18.9,21.3,Pice,4.0
-113.402730463295,59.6468622993417,20.2,53.0,Pice,4.0
-113.744989166913,59.3846093001836,15.6,50.0,Popu,4.0
-114.056824301994,59.3091960272545,20.2,53.0,Pice,4.0
-116.469958235029,58.9037752440836,20.1,60.3,Pice,4.0
-120.923147499888,57.9827555474356,14.6,31.8,Pice,4.0
-112.817578962259,59.458224908462,19.9,71.4,Pice,4.0
-114.922072191789,59.148193661359,20.2,53.0,Pice,4.0
-114.41954188046,59.1772173746634,20.2,53.0,Pice,4.0
-60.4348476218831,55.4761940655302,9.1,16.0,Pice,4.0
-114.165511723295,59.1397114753812,20.2,53.0,Pice,4.0
-62.7076897460424,55.9695443474825,8.4,18.0,Pice,4.0
-114.172026880745,58.9145843618527,20.2,53.0,Pice,1.0
-58.4976108112291,54.4267245146653,9.9,16.0,Pice,4.0
-59.4939418345116,54.8412039231266,11.7,16.0,Pice,4.0
-58.712241711884,54.4841497760791,9.9,16.0,Pice,4.0
-110.825479064932,59.2460646497909,19.8,20.4,Pinu,4.0
-59.2745646317377,54.5635188053264,11.7,16.0,Pice,4.0
-58.8819192802497,54.400740198621,9.9,16.0,Pice,4.0
-110.493933194691,59.2475279042824,19.8,20.4,Pinu,4.0
-59.1162489878067,54.499983565971,11.7,16.0,Pice,4.0
-120.048282553699,57.5784580883655,15.7,16.5,Pinu,4.0
-65.5678764557424,56.3588815215596,14.2,73.5,Pice,4.0
-100.430583020271,59.9568933334171,14.6,65.9,Pice,4.0
-120.783942493641,57.249137099366,16.9,23.0,Pice,4.0
-56.1140454528443,53.0418950146758,11.0,1.0,Pice,4.0
-116.939396537898,57.9619424742728,12.0,17.9,Popu,4.0
-100.568367506157,59.9015083149715,13.7,35.2,Pice,4.0
-113.187259846576,58.2618326440146,11.5,42.4,Pice,4.0
-116.216437442703,58.117872976944,20.1,60.3,Popu,3.0
-103.532533981877,59.62630174269,12.8,52.1,Pice,4.0
-56.5168132281655,53.0381500105112,11.8,47.0,Pice,4.0
-56.4484931951997,52.8635983239056,11.0,1.0,Pice,4.0
-118.91686501047,57.1885443742299,17.5,25.0,Pice,3.0
-61.1119520060476,54.0838117257117,16.1,63.8,Pice,4.0
-60.0332549881404,53.9843471233186,16.1,63.8,Pice,4.0
-58.6106357147064,53.4183403574462,9.9,16.0,Pice,4.0
-128.53539000202,54.4675700007507,5.4,125.0,Pseu,4.0
-60.5420735242949,54.0713578793546,16.1,63.8,Pice,4.0
-108.305462120388,58.5883044812931,8.5,10.8,Pinu,4.0
-113.963561328577,57.8443176990625,20.2,53.0,Pice,1.0
-105.999220943434,58.8624407041326,7.5,7.5,Pice,4.0
-60.4944690208414,54.0013270144503,16.1,63.8,Pice,4.0
-60.6826295588294,54.0177804970581,16.1,63.8,Pice,4.0
-103.435048877455,59.0508743284707,18.5,64.1,Pice,4.0
-57.6540867638576,52.7115483693129,11.8,47.0,Pice,4.0
-101.457946971563,59.0903423309123,18.7,53.4,Pice,4.0
-60.7299935859363,53.8290813192388,16.1,63.8,Pice,4.0
-107.981299226961,58.2812869673373,15.9,79.0,Pice,4.0
-61.2172026430636,53.7254337412666,17.8,78.4,Pice,4.0
-120.622469949293,56.0857595376381,10.1,37.4,Popu,4.0
-127.628624235664,54.0344482544039,16.4,50.4,Abie,4.0
-109.018752281497,58.0228890978116,18.9,21.3,Pinu,4.0
-60.4256656541987,53.3312807453923,7.1,72.6,Genc,4.0
-106.723254893035,58.1894281182214,17.8,33.9,Pinu,4.0
-108.716167291239,57.9002905378003,18.9,21.3,Pinu,4.0
-123.505390066207,55.0974795445911,15.5,6.2,Pinu,4.0
-113.458269800263,57.2105627500013,20.2,53.0,Pinu,4.0
-123.001330006494,55.1146500023677,16.9,43.3,Pinu,4.0
-109.136907871615,57.7039333594018,18.9,21.3,Pinu,4.0
-103.732647476099,58.1886167450375,18.5,64.1,Pice,4.0
-107.44079527231,57.7035449795846,6.9,27.6,Pice,4.0
-58.7948108879695,52.0200143185573,10.2,49.8,Pice,4.0
-62.2033268983535,53.2807924653706,16.1,63.8,Pice,4.0
-107.976342745936,57.4596057464253,19.8,96.2,Pinu,4.0
-103.602891818818,57.816835741031,18.5,64.1,Pice,4.0
-99.3307606504609,58.0292547682141,16.4,4.1,Pice,4.0
-101.415443292839,57.8218357073712,18.7,53.4,Pice,4.0
-94.2166759292675,58.0149675170108,14.6,65.8,Pice,4.0
-103.078658876748,57.7635574979902,18.5,64.1,Pice,4.0
-100.14375025494,57.9097361134341,13.3,61.5,Pice,4.0
-95.8372869207641,57.9164120030505,14.6,65.8,Pice,4.0
-94.3331992167759,57.8847117783553,14.6,65.8,Pice,4.0
-95.8362610766509,57.8696109911818,14.6,65.8,Pice,4.0
-108.45107527728,56.9195658937751,10.0,43.8,Pinu,4.0
-101.924166674807,57.4082974744084,18.7,53.4,Pice,4.0
-101.003190795061,57.3834539974336,18.7,53.4,Pice,4.0
-105.490696508746,57.1294708831925,17.9,81.6,Pinu,4.0
-101.577698673415,57.3975156735939,15.9,60.4,Pice,4.0
-122.487869993596,54.1472100006375,11.4,26.3,Pinu,4.0
-125.458080002978,53.186620000319,15.0,17.0,Pinu,4.0
-101.40207505227,57.2929019409342,13.3,61.5,Pice,4.0
-117.0950617752,55.3065106581743,-2.3,21.2,Popu,4.0
-100.191385578741,57.2967261405939,18.7,53.4,Pice,4.0
-107.545826706615,56.6904528011581,19.8,96.2,Pinu,4.0
-102.172341649154,57.0354802321575,18.7,53.4,Pice,4.0
-90.2485966347143,57.0379441509881,18.2,19.3,Pice,4.0
-103.337817421966,56.7766972646567,18.6,54.2,Pice,4.0
-104.085434432682,56.6583955404932,18.6,54.2,Pice,4.0
-107.767978618334,56.2915828476335,19.8,96.2,Pice,4.0
-99.5045000062888,56.8321466715136,18.7,56.3,Pinu,4.0
-104.435864279299,56.5580563907179,18.6,54.2,Pice,4.0
-115.489606758371,54.9441198495953,9.5,33.6,Pice,4.0
-94.6895413719555,56.7802109562585,18.3,60.4,Pice,4.0
-102.850801484532,56.4218610333991,18.6,54.2,Pinu,4.0
-104.803840490676,56.2812950731158,13.9,152.1,Pice,4.0
-71.453823003221,54.0536296231599,14.9,54.7,Pice,4.0
-102.547815534881,56.3221404040661,15.7,81.4,Pice,4.0
