,BURNCLAS,Tm,P,tree_genus,ClusterID
176,4.0,19.0,99.6,0,0
177,4.0,18.2,118.6,0,0
178,4.0,19.0,99.6,0,0
179,4.0,18.2,118.6,0,0
180,4.0,19.3,99.6,0,0
181,4.0,19.0,99.6,0,0
182,4.0,19.0,99.6,0,0
183,4.0,19.3,99.6,3,0
184,4.0,11.3,58.8,0,6
185,4.0,18.4,32.0,0,5
186,4.0,20.4,38.6,8,5
187,4.0,19.3,99.6,3,0
188,4.0,18.7,40.3,3,5
189,4.0,19.6,59.5,0,6
190,4.0,16.7,36.8,0,5
191,4.0,19.0,99.6,0,0
192,4.0,19.0,99.6,0,0
193,4.0,19.3,99.6,3,0
194,4.0,19.7,97.2,0,0
195,4.0,19.6,59.5,0,6
196,4.0,19.7,97.2,0,0
197,4.0,20.4,38.6,0,5
198,4.0,20.0,40.2,0,5
199,4.0,20.4,38.6,5,5
200,4.0,18.7,40.3,3,5
201,4.0,16.4,58.0,0,6
202,4.0,20.6,39.4,3,5
203,4.0,20.0,40.2,0,5
204,4.0,20.6,35.0,0,5
205,4.0,22.9,70.3,0,6
206,4.0,15.6,73.8,0,6
207,4.0,19.6,59.5,0,6
208,4.0,17.9,54.0,0,6
209,4.0,20.6,35.0,0,5
210,4.0,20.4,38.6,0,5
211,4.0,6.3,25.6,1,5
212,4.0,8.8,32.6,3,5
213,4.0,20.6,39.4,3,5
214,4.0,13.5,33.8,1,5
215,4.0,19.7,97.2,0,0
216,4.0,16.2,44.8,0,5
217,4.0,18.1,90.0,0,0
218,4.0,17.9,54.0,0,6
219,4.0,11.1,50.0,0,6
220,4.0,10.1,29.8,0,5
221,4.0,18.8,44.6,0,5
222,4.0,19.1,54.0,0,6
223,4.0,21.0,2.4,1,4
224,4.0,6.7,88.1,3,0
225,4.0,13.4,35.4,0,5
226,4.0,13.6,81.0,0,0
227,4.0,18.4,32.0,0,5
228,4.0,19.0,99.6,0,0
229,4.0,19.3,99.6,3,0
230,4.0,16.6,129.0,3,1
231,4.0,19.0,99.6,0,0
232,4.0,19.7,97.2,0,0
233,4.0,11.3,58.8,0,6
234,4.0,18.7,60.0,0,6
235,4.0,11.8,18.8,1,4
236,4.0,1.6,16.4,2,4
237,4.0,8.1,6.8,0,4
238,4.0,8.1,14.2,0,4
239,4.0,14.0,98.7,0,0
240,4.0,14.0,93.8,0,0
241,4.0,15.3,107.0,0,0
242,4.0,18.5,5.0,7,4
243,4.0,17.4,9.8,7,4
244,4.0,2.8,34.8,7,5
245,4.0,15.0,6.0,7,4
246,4.0,2.6,6.9,3,4
247,4.0,3.9,4.3,3,4
248,4.0,3.1,3.6,3,4
249,4.0,3.5,9.8,3,4
250,4.0,5.6,16.0,3,4
251,4.0,10.5,97.2,1,0
252,4.0,14.0,50.9,0,6
253,4.0,14.3,119.7,0,0
254,4.0,16.5,58.8,0,6
255,4.0,16.5,58.8,0,6
256,4.0,9.2,54.4,9,6
257,4.0,16.3,137.6,0,1
258,4.0,15.1,75.5,0,6
259,4.0,14.1,1.2,0,4
260,4.0,14.1,1.2,0,4
261,4.0,12.8,46.2,0,5
262,4.0,12.8,46.2,0,5
263,4.0,12.5,31.2,0,5
264,4.0,15.5,83.1,0,0
265,4.0,12.8,46.2,0,5
266,4.0,12.8,46.2,0,5
267,4.0,12.7,50.4,0,6
268,4.0,14.7,38.2,3,5
269,4.0,14.7,38.2,0,5
270,4.0,13.0,20.3,3,4
271,4.0,10.7,20.7,1,4
272,4.0,9.7,14.1,0,4
273,4.0,10.7,20.7,1,4
274,4.0,14.8,86.6,0,0
275,4.0,10.6,13.4,1,4
276,4.0,13.4,35.4,0,5
277,4.0,13.8,5.6,3,4
278,4.0,14.9,18.5,3,4
279,4.0,15.7,86.4,3,0
280,4.0,11.4,43.1,3,5
281,4.0,12.3,81.4,0,0
282,4.0,17.9,40.0,0,5
283,4.0,17.2,43.4,0,5
284,4.0,12.7,34.2,3,5
285,4.0,16.5,62.5,0,6
286,4.0,18.7,60.0,0,6
287,4.0,18.7,60.0,0,6
288,4.0,18.7,60.0,0,6
289,4.0,13.4,16.5,0,4
290,4.0,13.4,16.5,0,4
291,4.0,13.1,49.2,0,5
292,4.0,10.5,33.3,0,5
293,4.0,7.0,144.7,1,1
294,4.0,8.3,87.5,0,0
295,4.0,8.3,87.5,1,0
296,4.0,10.7,67.7,1,6
297,4.0,11.7,11.5,1,4
298,4.0,-3.6,6.8,0,4
299,4.0,5.5,8.0,1,4
300,2.0,11.2,114.8,0,0
301,2.0,10.4,45.2,1,5
302,4.0,11.9,43.9,1,5
303,4.0,9.8,30.6,1,5
304,4.0,13.5,91.8,5,0
305,4.0,11.1,18.2,0,4
306,4.0,11.0,18.2,3,4
307,4.0,11.8,9.4,1,4
308,4.0,14.4,5.0,0,4
309,4.0,11.7,7.0,0,4
310,4.0,14.3,42.6,3,5
311,4.0,11.3,15.2,1,4
312,4.0,16.9,119.2,0,0
313,4.0,16.3,1.5,0,4
314,4.0,1.6,66.5,0,6
315,4.0,11.0,18.2,1,4
316,4.0,12.9,8.8,5,4
317,4.0,14.3,13.8,0,4
318,4.0,11.7,63.2,0,6
319,4.0,7.0,44.3,0,5
320,4.0,11.9,20.8,5,4
321,4.0,15.8,65.4,0,6
322,4.0,8.7,7.2,1,4
323,4.0,4.3,85.4,1,0
324,4.0,10.3,80.5,3,0
325,4.0,14.3,70.8,3,6
326,4.0,8.8,32.6,1,5
327,4.0,12.5,49.2,1,5
328,4.0,20.6,39.4,3,5
329,4.0,17.7,79.3,1,0
330,4.0,16.2,42.8,0,5
331,4.0,9.7,20.8,1,4
332,4.0,19.3,99.6,3,0
333,4.0,9.8,15.6,1,4
334,4.0,15.8,65.4,3,6
335,4.0,18.0,170.2,0,1
336,4.0,16.7,104.2,0,0
337,4.0,18.7,80.0,0,0
338,4.0,2.0,37.0,3,5
339,4.0,5.8,17.0,0,4
340,4.0,15.8,15.5,0,4
341,4.0,2.0,37.0,1,5
342,4.0,16.9,123.8,0,1
343,4.0,12.0,11.2,0,4
344,4.0,17.4,102.6,0,0
345,4.0,9.4,112.4,10,0
346,4.0,11.6,42.2,1,5
347,4.0,11.6,42.2,1,5
348,4.0,19.9,104.8,1,0
349,4.0,20.6,35.0,0,5
350,4.0,13.1,42.0,10,5
351,4.0,20.6,118.0,3,0
352,4.0,11.5,111.5,0,0
353,4.0,12.9,21.2,0,4
354,4.0,19.7,97.2,0,0
355,4.0,16.7,36.8,0,5
356,4.0,19.0,99.6,0,0
357,4.0,16.7,36.8,0,5
358,4.0,19.0,99.6,0,0
359,4.0,19.3,99.6,0,0
360,4.0,10.9,59.0,0,6
361,4.0,17.1,32.0,0,5
362,4.0,19.0,99.6,0,0
363,4.0,19.0,99.6,0,0
364,4.0,16.0,90.5,0,0
365,4.0,11.4,5.2,1,4
366,4.0,2.9,8.1,1,4
367,4.0,-1.2,4.5,5,4
368,4.0,9.5,57.0,0,6
369,4.0,11.7,9.0,1,4
370,4.0,9.8,30.6,1,5
371,4.0,16.4,114.4,0,0
372,4.0,7.0,44.3,0,5
373,4.0,10.8,18.2,1,4
374,4.0,11.3,15.2,0,4
375,4.0,6.8,9.0,3,4
