X,Y,Tm,P,tree_genus,BURNCLAS
-138.852802000726,67.5160307823386,13.8,30.3,Pice,4.0
-138.291115001059,67.3081730908891,13.8,30.3,Pice,4.0
-136.466753599744,65.7584134181421,11.5,31.4,Popu,4.0
-140.051926439414,64.0519283585743,15.0,19.4,Abie,4.0
-133.461234463814,66.0982467749886,12.4,31.5,Pice,4.0
-140.344424196665,63.8341588143574,15.0,19.4,Pice,4.0
-135.239365159107,65.4857673069843,15.3,85.0,Pice,4.0
-140.238436076861,63.5482647497028,16.8,21.0,Pice,4.0
-140.419378531348,63.3751578316095,13.2,43.4,Abie,4.0
-139.658812576876,63.5477162105314,16.3,56.8,Pice,4.0
-140.509299176764,63.2209921373379,13.2,43.4,Pice,4.0
-138.820064359942,63.8646799662103,15.0,19.4,Pice,4.0
-140.094187047188,63.2290807530876,15.5,88.4,Pice,4.0
-139.690015393913,63.3578403500705,15.0,19.4,Pice,4.0
-137.430068440781,63.9629048803742,15.7,36.8,Pice,4.0
-138.017205535146,63.5213398280866,15.7,36.8,Pice,4.0
-136.538206977773,64.0005255952906,16.7,33.2,Abie,4.0
-136.392123694488,63.8685637566512,16.7,33.2,Pice,4.0
-138.624941292867,62.9334360248572,17.0,32.0,Pice,4.0
-134.553661966673,64.2759168895483,16.5,22.7,Pice,4.0
-134.631995345299,63.9362083435092,15.1,42.2,Pice,4.0
-137.708512186361,62.7130320651397,17.0,32.0,Pice,4.0
-135.991199157697,63.2859530970598,16.7,33.2,Abie,4.0
-132.790142245973,64.2523840493644,14.6,76.0,Abie,4.0
-138.72080588787,62.2238754721733,12.8,47.2,Pice,4.0
-138.456037866384,62.2652714386085,12.8,47.2,Abie,4.0
-135.624686382516,62.9184178639484,16.7,33.2,Pice,4.0
-135.10912889177,62.9168694249422,16.7,33.2,Pice,4.0
-131.35674627675,63.7661796383733,11.6,50.5,Pice,4.0
-133.572638011244,62.9089912582222,15.6,70.6,Pice,4.0
-135.801957533034,61.911802643704,15.8,1.7,Pice,4.0
-132.680123914667,63.0554145552461,14.6,76.0,Abie,4.0
-131.669601936828,63.3825603768107,11.6,50.5,Pice,4.0
-124.465207232801,65.0907309799107,13.7,42.2,Pice,4.0
-135.25668320149,62.0665903575959,15.8,1.7,Pinu,4.0
-125.152920438886,64.607896723572,15.5,18.6,Pice,4.0
-137.257210772736,61.0894090870071,14.2,118.4,Pice,4.0
-136.292983171619,61.3493635282448,15.8,1.7,Pice,4.0
-135.277425100291,61.633508479155,15.3,71.7,Pice,4.0
-125.959950981148,64.1878845774407,15.5,18.6,Pice,4.0
-133.018893296345,62.1737818850917,14.7,35.2,Pinu,4.0
-132.206757277839,62.4153837104357,14.7,35.2,Abie,4.0
-131.399035825871,62.4192202607479,15.2,76.0,Pice,4.0
-117.002708943712,65.5772910959879,16.0,24.6,Pice,4.0
-130.985611768306,62.4464846744815,10.2,84.2,Pice,4.0
-124.919909322354,63.95266116859,15.5,18.6,Popu,4.0
-133.114050268589,61.1490689329232,15.2,76.0,Pice,4.0
-134.295905062483,60.7364158475419,14.8,15.1,Abie,4.0
-123.224512352641,63.6846581234715,18.2,37.8,Pice,4.0
-116.014932842245,64.9573613639305,16.1,51.0,Pice,4.0
-124.803115850561,63.1146946472881,18.2,37.8,Pice,4.0
-116.439721286328,64.5390690121837,16.1,51.0,Pice,4.0
-117.628077074681,64.3503453503648,18.5,51.0,Pice,4.0
-122.882005423061,63.0574439138585,18.2,37.8,Pice,4.0
-118.509864834857,63.9243883831186,18.5,51.0,Popu,4.0
-115.029487417566,64.4911434220216,15.7,35.8,Pice,4.0
-127.296771443793,62.0421908047113,15.7,57.6,Pice,4.0
-114.889403400883,64.1196758885867,15.7,35.8,Pice,4.0
-124.200836612004,62.2223989821873,16.6,110.4,Pice,4.0
-122.394621649022,62.5496931838802,18.2,37.8,Pinu,4.0
-125.497284659828,61.7711761089183,16.6,110.4,Abie,4.0
-130.016292518429,60.4714651622631,15.2,40.5,Pinu,4.0
-124.04006044021,61.9770022321214,16.7,110.4,Abie,4.0
-122.646936931918,62.1770589515747,16.8,81.6,Pice,4.0
-116.634698789347,63.2341932908301,16.0,24.6,Pinu,4.0
-122.458386976692,62.1215130701093,16.8,81.6,Pice,4.0
-120.715408511137,62.0096840888258,17.3,29.8,Pinu,4.0
-124.65932056637,61.0227287209621,16.6,110.4,Abie,4.0
-111.871552542386,63.2053355890346,13.6,27.0,Pice,4.0
-117.07062651478,62.5289052802634,16.9,26.6,Pinu,4.0
-120.855467255895,61.7702748651618,17.3,29.8,Pice,4.0
-124.824233421359,60.9069080357183,16.6,110.4,Abie,4.0
-116.318700327334,62.5280709126671,15.1,16.0,Pice,4.0
-116.873113371738,62.3707982328592,16.9,26.6,Pinu,4.0
-112.486178871442,63.0111847657633,15.7,35.8,Pice,4.0
-120.449747151545,61.6029287467975,17.3,29.8,Pice,4.0
-120.732058906683,61.5876851702377,17.3,29.8,Pice,4.0
-125.085764619165,60.3698782385899,16.6,110.4,Pice,4.0
-123.24002578188,60.7472106136543,16.8,46.9,Pice,4.0
-120.256640873738,61.3736736295599,18.2,48.6,Betu,4.0
-124.936739252415,60.150646178323,16.8,86.2,Pice,4.0
-120.049302859158,61.1267627329615,17.3,29.8,Pice,4.0
-115.684123575565,61.8997703676173,15.7,35.7,Pinu,4.0
-121.019838026624,60.9532004499274,17.3,29.8,Pice,4.0
-117.071369935366,61.6170731571211,16.6,51.4,Pice,4.0
-126.620129997823,59.4004400035917,14.6,88.8,Pinu,4.0
-121.128620874056,60.7516142239737,17.3,29.8,Pice,4.0
-122.792188881895,60.3884830928294,16.8,81.6,Pice,4.0
-122.354973306954,60.4517255837597,6.6,19.6,Pice,4.0
-122.56021021722,60.3577504672028,16.8,46.9,Pice,4.0
-121.851997937268,60.4109038911293,16.8,81.6,Pice,4.0
-118.829410716834,60.9682637338722,16.6,51.4,Pinu,4.0
-109.535814842508,62.2901673873414,14.0,70.2,Pinu,4.0
-120.181132204387,60.4736053394851,17.3,29.8,Pice,4.0
-121.499603734877,60.1142786266142,17.3,29.8,Pice,4.0
-130.931231992761,57.4873759973945,14.1,32.7,Abie,4.0
-118.33780604013,60.7622442801299,16.6,51.4,Pice,4.0
-118.11865778894,60.6611408714132,16.6,51.4,Pice,4.0
-119.284888888939,60.101075010827,16.6,51.4,Pice,4.0
-112.080072855846,61.3098149161059,16.1,85.2,Pinu,4.0
-118.968722775332,60.1862066207556,16.6,51.4,Pice,4.0
-109.038201380782,61.6959614500348,14.0,70.2,Pinu,4.0
-108.034234469138,61.6482501423498,14.0,70.2,Pice,4.0
-108.848129753107,61.5169089120566,14.0,70.2,Pinu,4.0
-118.14397625755,60.1199936048873,15.9,42.6,Pice,4.0
-121.93999100061,59.323495911844,16.6,46.1,Popu,4.0
-111.146977363109,61.0974875795439,13.6,27.0,Pinu,4.0
-107.573122308655,61.5089607438363,14.0,70.2,Pinu,4.0
-119.819736456682,59.6885743800443,14.9,54.7,Pice,4.0
-117.100518964691,60.1281288662619,15.7,67.0,Pice,4.0
-116.681997397397,60.2471172798105,16.1,51.4,Pice,4.0
-111.49991969236,61.0039910053989,15.8,79.1,Pinu,4.0
-111.776828540388,60.8662305021795,15.8,79.1,Pinu,4.0
-113.786394274421,60.6020408451722,15.0,16.8,Pice,4.0
-110.103704918074,61.0989068032578,11.3,67.3,Pice,4.0
-105.463418136615,61.3537177914861,15.3,18.9,Pice,4.0
-112.381606257894,60.5719413730329,16.1,85.2,Pice,4.0
-112.11230543125,60.5405118985128,16.1,85.2,Pinu,4.0
-104.824351014098,61.2846386763491,11.9,35.9,Pice,4.0
-113.649767978915,60.2926170638653,15.0,16.8,Pinu,4.0
-111.666210664246,60.4397747588465,15.8,79.1,Pinu,4.0
-111.333162981742,60.5682281861474,15.8,79.1,Pinu,4.0
-107.153992715882,60.9893329287662,15.5,8.7,Pice,4.0
-116.576557728477,59.7239515802822,15.7,67.0,Pinu,4.0
-105.461709112698,61.123175169293,15.3,18.9,Pice,4.0
-106.038242335403,60.971521536638,15.3,18.9,Pice,4.0
-116.002226645425,59.6979963833706,17.4,16.6,Pice,4.0
-110.015793945702,60.4879113861737,16.9,90.0,Pinu,4.0
-109.619662257374,60.597815918316,16.9,38.3,Pice,4.0
-115.808054478107,59.6437885731262,16.1,51.4,Pice,4.0
-105.10252817724,60.944545569541,15.3,18.9,Pice,4.0
-107.075309717969,60.7012959693461,15.5,8.7,Pice,4.0
-103.694218534177,60.9757004420526,15.8,3.2,Pice,4.0
-108.288181650532,60.5766157392711,15.5,8.7,Pice,4.0
-110.367340213203,60.2934009361948,16.9,90.0,Pinu,4.0
-105.35947204758,60.7006159111292,15.3,18.9,Pice,4.0
-112.076297557347,59.8490025609429,16.1,85.2,Pice,4.0
-115.336487106728,59.3970746686021,17.4,16.6,Pice,1.0
-103.018251864588,60.7915213684598,13.2,25.0,Pice,4.0
-104.642616974483,60.6774574155469,15.3,18.9,Pice,4.0
-108.980723460986,60.2655488269629,8.5,9.0,Popu,4.0
-104.733436015955,60.5850105595822,15.3,18.9,Pice,4.0
-114.582100213717,59.369783606155,16.6,52.8,Pice,4.0
