X,Y,BURNCLAS,Tm,P,tree_genus
-109.876043050054,63.0893871067862,4.0,16.6,31.1,Pice
-116.30787180402,62.1146487906177,4.0,12.4,60.0,Pice
-111.507440828328,62.8155899499486,4.0,16.5,55.2,Pice
-115.078974810782,62.1431791268971,4.0,18.2,60.0,Pinu
-115.213480041754,61.9020085346306,4.0,18.2,60.0,Pice
-108.941915947291,62.372612317218,4.0,16.6,31.1,Pice
-109.856136442645,62.2772836625333,4.0,16.0,43.0,Popu
-108.043913543948,62.4957821798286,4.0,16.6,31.1,Pice
-127.65693699699,58.8277320004903,4.0,12.3,100.3,Abie
-127.276038996699,58.8945049969677,4.0,12.3,100.3,Pice
-108.34299038905,62.3575833351242,4.0,16.6,31.1,Pice
-119.429318231316,60.5842150122687,4.0,11.7,63.2,Pinu
-109.203813779527,62.0861330701956,4.0,16.6,31.1,Pice
-111.106815244676,61.7253129617798,4.0,13.0,1.2,Pinu
-117.626402629006,60.6371423842694,4.0,18.2,95.4,Popu
-112.008601926966,61.526107911537,4.0,14.8,26.0,Pice
-111.777047275599,61.1524356235014,4.0,14.9,18.5,Pinu
-111.976981613134,61.0929607923333,4.0,14.8,26.0,Popu
-120.362727291863,59.5073105475744,4.0,14.3,13.8,Pice
-108.944458477823,61.2023690307501,4.0,11.4,43.1,Pinu
-112.317706347947,60.5985917873367,4.0,18.2,61.4,Pinu
-108.784981680601,60.9921160526152,4.0,13.8,5.6,Pice
-119.211093848181,59.3851504126865,4.0,14.3,36.8,Pice
-118.675415977353,59.4814755394384,4.0,15.1,37.2,Pice
-111.745192425816,60.4609067243557,4.0,14.9,18.5,Pinu
-108.452986204172,60.7105972535114,4.0,13.8,5.6,Pice
-113.397945388084,60.1527997986436,4.0,14.8,26.0,Pinu
-115.866736909906,59.6522289851976,1.0,16.3,99.4,Pice
-114.829862280494,59.8481805206028,4.0,9.6,52.3,Pice
-109.491897873728,60.0821290265131,4.0,13.8,5.6,Pice
-110.439689315764,59.965621975513,4.0,13.1,10.1,Popu
-113.450878066823,59.4905825148609,4.0,15.3,16.0,Popu
-102.103671903735,60.6746336933278,4.0,7.8,11.8,Pice
-109.952977649898,59.6213176486341,4.0,13.1,10.1,Popu
-117.881018001618,58.538440000016,4.0,12.8,32.0,Pice
-107.478908547557,60.0146721310597,4.0,13.8,5.6,Pinu
-103.4122146469,60.3705552966407,4.0,13.0,39.6,Pice
-110.557129151948,59.6603103928772,4.0,19.4,55.8,Popu
-111.336116252311,59.3486616603241,4.0,13.1,10.1,Pinu
-100.507062075123,60.0438743664446,4.0,7.8,11.8,Pice
-114.56711483243,58.5244101215472,4.0,12.1,42.8,Popu
-114.519932116439,58.4908505386703,4.0,9.8,8.4,Pice
-111.060315812372,57.82959408989,3.0,9.8,1.0,Pinu
-108.197633065127,58.2705778289238,4.0,13.8,5.6,Pice
-103.549412431242,58.7889083807422,4.0,13.0,39.6,Pice
-101.179668208922,58.9637964556035,4.0,17.4,102.6,Pice
-63.6449479784821,54.5705599666041,4.0,13.4,137.5,Pice
-115.16245297181,57.1100762526,4.0,15.9,126.6,Pice
-115.715579231394,56.6890543109758,4.0,11.7,9.0,Pinu
-93.9930376186109,58.4275910641954,4.0,14.2,101.4,Pice
-115.898724560824,56.5288487260454,4.0,11.7,9.0,Lari
-115.243763711413,56.5439955722506,4.0,11.7,9.7,Pice
-102.976533591983,57.9968882804911,4.0,13.0,39.6,Pice
-115.364799864331,56.1312114052994,2.0,10.3,3.2,Pice
-111.47346893151,56.9184356758754,4.0,12.4,10.5,Popu
-124.819884001578,53.9779480015255,4.0,5.6,16.0,Pinu
-109.363264056311,56.9803948360205,4.0,14.3,42.6,Pinu
-110.487308450692,56.9757638859673,4.0,14.3,42.6,Pinu
-104.118238052389,57.4709420301226,4.0,13.3,30.2,Pinu
-103.093248599867,57.5230083997019,4.0,13.0,39.6,Pice
-115.64744453437,55.8143909712611,2.0,11.9,8.9,Pice
-109.002930261856,56.8775679058497,4.0,14.8,100.6,Pice
-94.3529328079623,57.681702659666,4.0,14.2,101.4,Pice
-101.752533320578,57.082687455594,4.0,13.2,68.9,Pice
-114.982777885732,55.2982456822792,3.0,11.5,8.0,Pice
