X,Y,Tm,P,tree_genus,BURNCLAS
-122.549224984394,60.4051220586589,18.7,155.7,Pice,4.0
-113.159301721946,62.0773735695096,13.8,46.4,Pinu,4.0
-112.797478990515,62.0756114744596,14.1,12.5,Pinu,4.0
-107.998859970313,62.6171896671237,17.0,21.9,Pice,4.0
-108.141324563351,62.4095067573684,13.3,52.5,Pice,4.0
-104.707533233824,62.6425216899731,8.0,5.6,Pice,4.0
-96.5436858646451,62.9459933009893,14.2,29.6,Pice,4.0
-112.878996058798,61.8237343493796,8.4,12.0,Pice,4.0
-107.967083713619,62.3456871620028,12.4,15.4,Pice,4.0
-116.873694586523,61.1225567695823,15.1,5.0,Pice,4.0
-103.497367623806,62.6797305311711,13.4,42.0,Pice,4.0
-117.199546215886,61.0519026194631,19.1,53.8,Pice,4.0
-119.183366729934,60.6505555414966,15.1,5.0,Pice,4.0
-109.209960375673,62.0598150563479,17.0,21.9,Pice,4.0
-106.442390814816,62.398666085365,13.4,42.0,Pice,4.0
-117.340724151611,60.7464549000374,7.2,10.8,Pinu,4.0
-112.422301872092,61.7158226319742,13.8,46.4,Pinu,4.0
-112.306566673164,61.6633739987327,13.8,46.4,Pinu,4.0
-107.433801303737,62.2133005322816,12.4,15.4,Pice,4.0
-119.707813737129,60.3902022219515,10.4,37.8,Pice,4.0
-119.511675397187,60.4172248684341,10.4,37.8,Pice,4.0
-118.794397043946,60.5427880152536,15.6,48.4,Pice,4.0
-116.351575400253,60.9230574441166,15.5,48.4,Pice,4.0
-109.896756831818,61.8615084255483,18.2,6.8,Pice,4.0
-119.581268896535,60.346363323775,19.1,53.8,Pice,4.0
-107.602799910968,62.0536130741598,12.4,15.4,Popu,4.0
-119.764745153349,60.2009031772689,19.7,21.8,Pice,4.0
-121.848730820261,59.7923316835345,19.3,123.6,Pice,4.0
-112.446788225556,61.462906174864,19.1,28.6,Pinu,4.0
-120.475058740031,60.0488360944638,19.7,21.8,Pice,4.0
-112.175835686699,61.3987140719821,15.7,99.2,Pinu,4.0
-110.231679776191,61.6356904426786,18.2,6.8,Pinu,4.0
-118.603286863162,60.1949767745853,15.1,5.0,Popu,4.0
-104.077129632753,62.076670848675,9.0,65.4,Pice,4.0
-111.58523238465,61.311219020361,15.6,98.2,Popu,4.0
-114.792972767308,60.8357482576206,18.7,48.3,Pinu,4.0
-109.491697074778,61.5047998689952,12.4,15.4,Pice,4.0
-110.248578676659,61.394985494775,18.2,6.8,Pice,4.0
-107.88904545102,61.6203715641116,17.0,21.9,Pice,4.0
-112.934169954395,61.0491032485391,14.8,40.2,Pice,4.0
-113.725557649136,60.923630407681,14.8,40.2,Pice,4.0
-114.79615852406,60.5094424429919,13.8,13.3,Pice,4.0
-119.016189421287,59.9651514297378,10.4,37.8,Pice,4.0
-108.64418156263,61.5135381246851,12.4,15.4,Pice,4.0
-113.606048129936,60.8463366789335,14.8,40.2,Pice,4.0
-114.304967689444,60.7246177378199,15.4,1.6,Pinu,4.0
-111.258950276874,61.1726033299436,12.7,52.5,Pinu,4.0
-107.749450147302,61.5617204768136,17.0,21.9,Pice,4.0
-110.194988897575,61.2072188116724,13.3,2.6,Pice,4.0
-121.421110002488,59.3757299992406,19.3,123.6,Pice,4.0
-117.038572605695,60.2542264870542,15.6,48.4,Pice,4.0
-112.933762563322,60.9066446811864,19.1,28.6,Pice,4.0
-106.394706118086,61.5809648095924,16.8,56.7,Pice,4.0
-114.083378694845,60.6256772271138,15.4,1.6,Popu,4.0
-120.348711744674,59.515556883855,17.4,19.0,Popu,4.0
-118.069587117695,59.9735223784228,15.1,5.0,Pinu,4.0
-115.734860386724,60.3060490572916,13.8,13.3,Betu,4.0
-111.515288364652,60.6508155027062,16.3,20.2,Pinu,4.0
-112.232716004371,60.8303875201393,15.7,99.2,Pice,4.0
-113.919944755381,60.4352090455251,14.8,40.2,Pice,4.0
-112.763022405313,60.7282332903319,14.8,40.2,Popu,4.0
-121.219093079742,59.1968066460135,19.3,123.6,Pice,4.0
-112.215564861996,60.7855583769295,15.7,99.2,Pinu,4.0
-111.530434384075,60.8710862857963,15.6,98.2,Pinu,4.0
-113.347144008035,60.5237051173971,15.4,1.6,Pinu,4.0
-112.538549072687,60.7065435539413,15.7,99.2,Pinu,4.0
-111.511675161266,60.8380298519121,15.6,98.2,Pinu,4.0
-108.589611580089,61.1604556701216,15.3,37.5,Pice,4.0
-111.44086387378,60.7854879205573,15.6,98.2,Pinu,4.0
-112.592118829119,60.594209151002,15.7,99.2,Pice,4.0
-108.186510881024,61.1314452717106,17.4,100.1,Pice,4.0
-105.126945740057,61.3743781626379,8.0,5.6,Pice,4.0
-111.985397417291,60.6290551881558,15.7,99.2,Pinu,4.0
-105.316507450849,61.3589864320336,13.4,42.0,Pice,4.0
-106.479531213917,61.1675916729047,13.8,20.6,Pice,4.0
-111.376374392071,60.6892566124411,19.0,63.4,Pinu,4.0
-116.940564866887,59.8265799344014,19.1,62.4,Pinu,4.0
-107.905084968844,61.048568745679,17.4,100.1,Pice,4.0
-110.430880567039,60.7268245257554,19.0,89.2,Pinu,4.0
-61.9838264463913,56.9561748956399,5.4,42.9,Pice,4.0
-113.40340231016,60.2348954589718,15.4,1.6,Pinu,4.0
-104.310816789727,61.1811969731132,13.4,42.0,Pice,4.0
-120.942779997224,58.7930300017103,19.3,123.6,Pice,4.0
-110.875070081188,60.4898657394501,15.6,98.2,Pinu,4.0
-106.533227712488,60.9062269597719,13.8,20.6,Pice,4.0
-111.105166345028,60.3996478213724,19.0,63.4,Pinu,4.0
-110.28572773512,60.4521866080718,19.0,89.2,Pice,4.0
-112.574655541455,60.1169186695286,19.2,57.6,Pice,4.0
-110.888929914953,60.3799031331118,15.6,98.2,Pinu,4.0
-106.121868806325,60.8951988072952,13.8,20.6,Pice,4.0
-110.746166703457,60.357965522019,15.6,98.2,Pinu,4.0
-107.660072381665,60.6920642440606,17.4,100.1,Pinu,4.0
-107.814584512404,60.6716054710387,13.3,52.5,Pice,4.0
-111.029850077347,60.1976619280857,16.3,20.2,Pinu,4.0
-108.189227689467,60.5670322271799,17.4,100.1,Pice,4.0
-103.04917466329,60.9536290863453,16.1,42.2,Pice,4.0
-110.727858246981,60.2729486734583,19.0,63.4,Pinu,4.0
-105.915165560187,60.7434960468214,16.8,56.7,Pice,4.0
-107.920856886872,60.5120671579906,17.4,100.1,Pice,4.0
-113.850641321413,59.7672719567266,19.0,38.8,Pinu,4.0
-107.347553227372,60.5667657171513,17.4,100.1,Pice,4.0
-114.735799380107,59.5294017208985,16.2,53.8,Pice,4.0
-112.184808076701,59.7844894738289,16.5,19.2,Pice,4.0
-113.918369721427,59.710524172111,19.0,38.8,Pinu,4.0
-102.666683188773,60.8100679404932,16.1,42.2,Pice,4.0
-110.895595804262,60.0478519971605,19.0,63.4,Pinu,4.0
-106.801511152163,60.5133248527149,16.8,56.7,Pice,4.0
-107.271515136192,60.4553639899732,15.3,37.5,Pice,4.0
-113.912592772605,59.4108960066964,16.2,53.8,Pice,4.0
-112.532141944129,59.7240500345365,16.5,19.2,Pice,4.0
-125.671988886379,56.8291161917417,10.7,14.3,Abie,4.0
-114.22605459776,59.322798446854,16.1,6.8,Pice,4.0
-110.169680287811,59.8261013627253,17.7,22.0,Pice,4.0
-107.59253672268,60.0451938727816,14.6,49.4,Pinu,4.0
