X,Y,Tm,P,S,BS,Tx,POLY_HA,tree_genus,BURNCLAS
-129.296253108889,61.2850778552744,9.1,18.6,1.2,,25.0,664.478536893,Pice,4.0
-126.653111634245,61.9030236757846,11.5,18.6,,,29.8,14336.6524597,Pice,4.0
-127.438004603909,61.698409583039,11.5,18.6,,,29.8,656.443595145,Abie,4.0
-123.43199489543,62.6517113836801,15.8,31.3,,,30.0,1909.93825343,Pinu,4.0
-123.627372870013,62.3936789318798,11.4,2.3,,,31.1,8417.47684274,Pinu,4.0
-116.83127519541,63.7205423748042,14.5,17.0,,,29.5,94.8352806014,Betu,4.0
-113.906695450814,64.0924997555392,14.5,7.2,0.0,,28.0,2951.09468376,Pice,4.0
-122.746100983015,62.5339344777267,15.8,31.3,,,30.0,741.170323245,Pinu,4.0
-122.300551717272,62.630848777835,16.0,11.7,,,30.3,381.788055635,Pice,4.0
-120.799185362974,62.8467066050133,12.4,9.0,,,30.4,1402.37421091,Pice,4.0
-122.689550643361,62.4463127098035,15.8,31.3,,,30.0,841.588093793,Popu,4.0
-129.664022997371,60.5489638569884,9.1,18.6,1.2,,25.0,7060.6667302,Pinu,4.0
-123.945288024094,62.0587495934726,11.4,2.3,,,31.1,2208.14585603,Pice,4.0
-121.633298627617,62.5252031445886,12.4,9.0,,,30.4,1958.69508793,Pinu,4.0
-116.470599900197,63.4897352268622,14.5,17.0,,,29.5,293.264394025,Pinu,4.0
-122.184028393256,62.2300436832995,12.4,9.0,,,30.4,16484.1438381,Pice,4.0
-121.713481279311,62.436551229188,12.4,9.0,,,30.4,677.289835672,Pice,4.0
-122.940931143872,62.0867440049731,15.8,31.3,,,30.0,5335.27110848,Pice,4.0
-125.982519265632,61.2040229294903,11.4,2.3,,,31.1,34750.5733417,Pice,4.0
-115.343111149117,63.4636237794169,12.1,46.8,,,20.7,333.896344064,Pinu,4.0
-115.955457231524,63.3762360445789,14.5,17.0,,,29.5,104.495834299,Pinu,4.0
-123.517766735174,61.8582248110802,15.8,31.3,,,30.0,5063.00920821,Pice,4.0
-125.230580758375,61.4240380784172,11.4,2.3,,,31.1,175.639725141,Abie,4.0
-132.428406003223,59.258559996368,10.2,9.5,,,26.1,3984.00568676,Pinu,4.0
-123.006905208567,61.7218530684073,15.8,31.3,,,30.0,11237.1770379,Pice,4.0
-123.886755675285,61.5258765730317,11.4,2.3,,,31.1,10532.0838716,Abie,4.0
-133.138911030133,58.8161571626118,10.3,7.3,0.0,,25.5,8745.63377787,Abie,4.0
-124.695255429497,61.3522882101681,16.2,62.4,,,31.5,58.4444900766,Pice,4.0
-122.700315288575,61.7891232770689,11.6,25.0,,,30.5,1061.4402698,Pice,4.0
-119.932337896239,62.3698686652131,12.4,9.0,,,30.4,31.3696264622,Pice,4.0
-112.511867706049,63.438031249052,13.9,38.1,,,22.8,6993.87884036,Pice,4.0
-132.928559886547,58.83256758415,10.3,7.3,0.0,,25.5,753.656602161,Pinu,4.0
-123.519590832941,61.4938339514666,15.8,31.3,,,30.0,2351.09955368,Pice,4.0
-120.030998557886,62.1909573089174,16.0,11.7,,,30.3,4441.98655471,Abie,4.0
-123.649019669383,61.3774677108007,15.1,24.4,,,29.6,614.8724135,Popu,4.0
-127.080945455817,60.4987533463147,14.3,40.4,,,27.5,681.120465818,Pinu,4.0
-120.156375993993,62.0475300123105,12.4,9.0,,,30.4,2151.87621981,Pice,4.0
-125.472564380236,60.872478538643,11.4,2.3,,,31.1,5604.27460768,Pice,4.0
-121.633127772224,61.7244665044522,16.0,11.7,,,30.3,112.533946888,Pice,4.0
-117.320330638671,62.3322490227305,14.5,17.0,,,29.5,48534.4989026,Pinu,4.0
-113.933078111879,63.0167174727,12.1,46.8,,,20.7,124.362629647,Pice,4.0
-125.751801675239,60.6385192126519,15.1,24.4,,,29.6,5578.39381439,Pice,4.0
-121.562992882005,61.535737201058,16.0,11.7,,,30.3,6514.63882165,Pice,4.0
-127.342277637525,60.0975828508572,14.2,26.3,,,25.8,43722.8587731,Pinu,4.0
-124.138598421598,60.8169451209182,11.4,2.3,,,31.1,1914.18971344,Abie,4.0
-116.618123927863,62.2233001463529,9.0,1.0,,,27.4,32191.1114159,Popu,4.0
-120.695347658239,61.5462055123183,16.0,11.7,,,30.3,122.060772705,Pice,4.0
-119.717676930239,61.7124497042013,16.0,11.7,,,30.3,6253.30496221,Betu,4.0
-122.405001388472,61.0989970568373,15.8,31.3,,,30.0,8423.5507177,Pice,4.0
-115.806974125657,62.3509324167601,15.0,41.8,0.0,,25.2,731.034004666,Pinu,4.0
-128.005727334653,59.509920941244,11.4,29.4,,,27.0,41271.4927814,Pinu,4.0
-125.305113425281,60.3377929699541,11.4,2.3,,,31.1,6051.62789067,Pinu,4.0
-119.529007876501,61.4910512239475,16.0,11.7,,,30.3,51163.6710341,Betu,4.0
-122.10957316209,60.8795242855847,11.6,25.0,,,30.5,10730.5344909,Pice,4.0
-113.27232364662,62.3571554726161,14.5,7.2,0.0,,28.0,30791.7776524,Pice,4.0
-117.897562710669,61.7633545095867,9.0,1.0,,,27.4,2308.36842597,Betu,4.0
-120.402082079029,61.19997972105,16.0,11.7,,,30.3,39.1139813549,Pice,4.0
-112.458836289235,62.4068720083081,13.5,9.9,,,19.5,5615.02426261,Pinu,4.0
-121.826048220917,60.8279504250053,15.8,31.3,,,30.0,276.290204275,Pice,4.0
-126.659136993747,59.6337139986368,15.4,98.5,,,29.9,366.452489495,Pice,4.0
-118.075294047071,61.4742715098845,15.2,104.0,,,28.9,46.8267266371,Pice,4.0
-119.344377067822,61.2139057266873,12.4,9.0,,,30.4,761.081623044,Pice,4.0
-120.830543809914,60.8934328681469,16.0,11.7,,,30.3,34.0094344693,Pice,4.0
-120.322506953705,60.9761769357321,16.0,11.7,,,30.3,328.322299392,Pice,4.0
-118.56178019068,61.2337486869431,18.0,25.2,,,29.6,13409.4304617,Betu,4.0
-117.125070808237,61.4518628677562,18.0,25.2,,,29.6,1648.9038393,Pice,4.0
-120.711832812718,60.7594321504357,12.4,9.0,,,30.4,537.180649934,Pice,4.0
-116.702202240642,61.5147101441128,18.0,25.2,,,29.6,47.6131337278,Pice,4.0
-127.468620044674,59.0092800004885,11.4,29.4,,,27.0,138.548269518,Popu,4.0
-122.575065369526,60.220275556863,18.0,78.8,,,30.9,48.2060158668,Popu,4.0
